fixed_acidity,volatile_acidity,citric_acid,residual_sugar,alcohol,free_sulfur_dioxide
7.4,0.7,0,1.9,9.4,11
7.8,0.88,0,2.6,9.8,25
7.8,0.76,0.04,2.3,9.8,15
11.2,0.28,0.56,1.9,9.8,17
7.4,0.7,0,1.9,9.4,11
7.4,0.66,0,1.8,9.4,13
7.9,0.6,0.06,1.6,9.4,15
7.3,0.65,0,1.2,10,15
7.8,0.58,0.02,2,9.5,9
7.5,0.5,0.36,6.1,10.5,17
6.7,0.58,0.08,1.8,9.2,15
7.5,0.5,0.36,6.1,10.5,17
5.6,0.615,0,1.6,9.9,16
7.8,0.61,0.29,1.6,9.1,9
8.9,0.62,0.18,3.8,9.2,52
8.9,0.62,0.19,3.9,9.2,51
8.5,0.28,0.56,1.8,10.5,35
8.1,0.56,0.28,1.7,9.3,16
7.4,0.59,0.08,4.4,9,6
7.9,0.32,0.51,1.8,9.2,17
8.9,0.22,0.48,1.8,9.4,29
7.6,0.39,0.31,2.3,9.7,23
7.9,0.43,0.21,1.6,9.5,10
8.5,0.49,0.11,2.3,9.4,9
6.9,0.4,0.14,2.4,9.7,21
6.3,0.39,0.16,1.4,9.3,11
7.6,0.41,0.24,1.8,9.5,4
7.9,0.43,0.21,1.6,9.5,10
7.1,0.71,0,1.9,9.4,14
7.8,0.645,0,2,9.8,8
6.7,0.675,0.07,2.4,10.1,17
6.9,0.685,0,2.5,10.6,22
8.3,0.655,0.12,2.3,9.8,15
6.9,0.605,0.12,10.7,9.4,40
5.2,0.32,0.25,1.8,9.2,13
7.8,0.645,0,5.5,9.6,5
7.8,0.6,0.14,2.4,10.8,3
8.1,0.38,0.28,2.1,9.7,13
5.7,1.13,0.09,1.5,9.8,7
7.3,0.45,0.36,5.9,10.5,12
7.3,0.45,0.36,5.9,10.5,12
8.8,0.61,0.3,2.8,9.3,17
7.5,0.49,0.2,2.6,10.5,8
8.1,0.66,0.22,2.2,10.3,9
6.8,0.67,0.02,1.8,9.5,5
4.6,0.52,0.15,2.1,13.1,8
7.7,0.935,0.43,2.2,9.2,22
8.7,0.29,0.52,1.6,9.5,12
6.4,0.4,0.23,1.6,9.2,5
5.6,0.31,0.37,1.4,9.2,12
8.8,0.66,0.26,1.7,9.2,4
6.6,0.52,0.04,2.2,9.4,8
6.6,0.5,0.04,2.1,9.4,6
8.6,0.38,0.36,3,9.4,30
7.6,0.51,0.15,2.8,10.2,33
7.7,0.62,0.04,3.8,9.5,25
10.2,0.42,0.57,3.4,9.6,4
7.5,0.63,0.12,5.1,9.4,50
7.8,0.59,0.18,2.3,10,17
7.3,0.39,0.31,2.4,9.4,9
8.8,0.4,0.4,2.2,9.2,19
7.7,0.69,0.49,1.8,9.3,20
7.5,0.52,0.16,1.9,9.5,12
7,0.735,0.05,2,9.8,13
7.2,0.725,0.05,4.65,10.9,4
7.2,0.725,0.05,4.65,10.9,4
7.5,0.52,0.11,1.5,9.6,11
6.6,0.705,0.07,1.6,10.7,6
9.3,0.32,0.57,2,10.7,27
8,0.705,0.05,1.9,10.5,8
7.7,0.63,0.08,1.9,9.5,15
7.7,0.67,0.23,2.1,9.5,17
7.7,0.69,0.22,1.9,9.5,18
8.3,0.675,0.26,2.1,9.2,11
9.7,0.32,0.54,2.5,9.6,28
8.8,0.41,0.64,2.2,10.5,9
8.8,0.41,0.64,2.2,10.5,9
6.8,0.785,0,2.4,10.7,14
6.7,0.75,0.12,2,10.1,12
8.3,0.625,0.2,1.5,9.1,27
6.2,0.45,0.2,1.6,9.2,3
7.8,0.43,0.7,1.9,9.4,22
7.4,0.5,0.47,2,9.1,21
7.3,0.67,0.26,1.8,9.4,16
6.3,0.3,0.48,1.8,10.3,18
6.9,0.55,0.15,2.2,10.1,19
8.6,0.49,0.28,1.9,9.9,20
7.7,0.49,0.26,1.9,9.6,9
9.3,0.39,0.44,2.1,9.5,34
7,0.62,0.08,1.8,9,8
7.9,0.52,0.26,1.9,9.5,42
8.6,0.49,0.28,1.9,9.9,20
8.6,0.49,0.29,2,9.8,19
7.7,0.49,0.26,1.9,9.6,9
5,1.02,0.04,1.4,10.5,41
4.7,0.6,0.17,2.3,12.9,17
6.8,0.775,0,3,10.7,8
7,0.5,0.25,2,9.2,3
7.6,0.9,0.06,2.5,9.8,5
8.1,0.545,0.18,1.9,9,13
8.3,0.61,0.3,2.1,10.2,11
7.8,0.5,0.3,1.9,10.4,8
8.1,0.545,0.18,1.9,9,13
8.1,0.575,0.22,2.1,9.2,12
7.2,0.49,0.24,2.2,9.4,5
8.1,0.575,0.22,2.1,9.2,12
7.8,0.41,0.68,1.7,9.3,18
6.2,0.63,0.31,1.7,9.3,15
8,0.33,0.53,2.5,9.6,18
8.1,0.785,0.52,2,9.3,37
7.8,0.56,0.19,1.8,9.5,12
8.4,0.62,0.09,2.2,9.8,11
8.4,0.6,0.1,2.2,9.8,14
10.1,0.31,0.44,2.3,9.7,22
7.8,0.56,0.19,1.8,9.5,12
9.4,0.4,0.31,2.2,10.5,13
8.3,0.54,0.28,1.9,10,11
7.8,0.56,0.12,2,9.4,7
8.8,0.55,0.04,2.2,10.9,14
7,0.69,0.08,1.8,9.2,22
7.3,1.07,0.09,1.7,9,10
8.8,0.55,0.04,2.2,10.9,14
7.3,0.695,0,2.5,9.2,3
8,0.71,0,2.6,9.5,11
7.8,0.5,0.17,1.6,9.5,21
9,0.62,0.04,1.9,9.4,27
8.2,1.33,0,1.7,10.9,3
8.1,1.33,0,1.8,10.9,3
8,0.59,0.16,1.8,10.5,3
6.1,0.38,0.15,1.8,9.4,6
8,0.745,0.56,2,9.4,30
5.6,0.5,0.09,2.3,13,17
5.6,0.5,0.09,2.3,13,17
6.6,0.5,0.01,1.5,9.8,17
7.9,1.04,0.05,2.2,9.9,13
8.4,0.745,0.11,1.9,9.6,16
8.3,0.715,0.15,1.8,9.5,10
7.2,0.415,0.36,2,9.2,13
7.8,0.56,0.19,2.1,9.5,15
7.8,0.56,0.19,2,9.5,17
8.4,0.745,0.11,1.9,9.6,16
8.3,0.715,0.15,1.8,9.5,10
5.2,0.34,0,1.8,14,27
6.3,0.39,0.08,1.7,9.4,3
5.2,0.34,0,1.8,14,27
8.1,0.67,0.55,1.8,9.4,32
5.8,0.68,0.02,1.8,10,21
7.6,0.49,0.26,1.6,9.3,10
6.9,0.49,0.1,2.3,10.2,12
8.2,0.4,0.44,2.8,10.5,11
7.3,0.33,0.47,2.1,10.3,5
9.2,0.52,1,3.4,9.4,32
7.5,0.6,0.03,1.8,10.1,25
7.5,0.6,0.03,1.8,10.1,25
7.1,0.43,0.42,5.5,10.5,29
7.1,0.43,0.42,5.5,10.5,28
7.1,0.43,0.42,5.5,10.5,29
7.1,0.43,0.42,5.5,10.5,28
7.1,0.68,0,2.2,9.3,12
6.8,0.6,0.18,1.9,9.3,18
7.6,0.95,0.03,2,9.6,7
7.6,0.68,0.02,1.3,9.2,9
7.8,0.53,0.04,1.7,10,17
7.4,0.6,0.26,7.3,9.4,36
7.3,0.59,0.26,7.2,9.4,35
7.8,0.63,0.48,1.7,9.5,14
6.8,0.64,0.1,2.1,10.2,18
7.3,0.55,0.03,1.6,9,17
6.8,0.63,0.07,2.1,10.4,11
7.5,0.705,0.24,1.8,9.5,15
7.9,0.885,0.03,1.8,9.1,4
8,0.42,0.17,2,9.2,6
8,0.42,0.17,2,9.2,6
7.4,0.62,0.05,1.9,11.5,24
7.3,0.38,0.21,2,9.5,7
6.9,0.5,0.04,1.5,9.5,19
7.3,0.38,0.21,2,9.5,7
7.5,0.52,0.42,2.3,10.5,8
7,0.805,0,2.5,9.6,7
8.8,0.61,0.14,2.4,9.5,10
8.8,0.61,0.14,2.4,9.5,10
8.9,0.61,0.49,2,9.3,23
7.2,0.73,0.02,2.5,9.3,16
6.8,0.61,0.2,1.8,9.3,11
6.7,0.62,0.21,1.9,9.3,8
8.9,0.31,0.57,2,9.7,26
7.4,0.39,0.48,2,9.2,14
7.7,0.705,0.1,2.6,9.7,9
7.9,0.5,0.33,2,9.5,15
7.9,0.49,0.32,1.9,9.5,17
8.2,0.5,0.35,2.9,9.4,21
6.4,0.37,0.25,1.9,9.8,21
6.8,0.63,0.12,3.8,9.5,16
7.6,0.55,0.21,2.2,9.7,7
7.6,0.55,0.21,2.2,9.7,7
7.8,0.59,0.33,2,9.4,24
7.3,0.58,0.3,2.4,10.2,15
11.5,0.3,0.6,2,10.1,12
5.4,0.835,0.08,1.2,13,13
6.9,1.09,0.06,2.1,11.4,12
9.6,0.32,0.47,1.4,10.3,9
8.8,0.37,0.48,2.1,9.3,39
6.8,0.5,0.11,1.5,9.5,16
7,0.42,0.35,1.6,9.2,16
7,0.43,0.36,1.6,9.2,14
12.8,0.3,0.74,2.6,10.8,9
12.8,0.3,0.74,2.6,10.8,9
7.8,0.57,0.31,1.8,9.3,26
7.8,0.44,0.28,2.7,9.4,18
11,0.3,0.58,2.1,10.5,7
9.7,0.53,0.6,2,12.4,5
8,0.725,0.24,2.8,10,10
11.6,0.44,0.64,2.1,10.2,5
8.2,0.57,0.26,2.2,10.1,28
7.8,0.735,0.08,2.4,9.8,10
7,0.49,0.49,5.6,10.5,26
8.7,0.625,0.16,2,11,13
8.1,0.725,0.22,2.2,9.1,11
7.5,0.49,0.19,1.9,9.7,10
7.8,0.53,0.33,2.4,9.5,24
7.8,0.34,0.37,2,9.4,24
7.4,0.53,0.26,2,9.4,16
6.8,0.61,0.04,1.5,9.5,5
8.6,0.645,0.25,2,10,8
8.4,0.635,0.36,2,10.4,15
7.7,0.43,0.25,2.6,10.5,29
8.9,0.59,0.5,2,9.5,27
9,0.82,0.14,2.6,9.8,9
7.7,0.43,0.25,2.6,10.5,29
6.9,0.52,0.25,2.6,11,10
5.2,0.48,0.04,1.6,12.2,19
8,0.38,0.06,1.8,9.9,12
8.5,0.37,0.2,2.8,9.6,18
6.9,0.52,0.25,2.6,11,10
8.2,1,0.09,2.3,9,7
7.2,0.63,0,1.9,9,14
7.2,0.63,0,1.9,9,14
7.2,0.645,0,1.9,9.2,15
7.2,0.63,0,1.9,9,14
8.2,1,0.09,2.3,9,7
8.9,0.635,0.37,1.7,9.3,5
12,0.38,0.56,2.1,10.9,6
7.7,0.58,0.1,1.8,9.8,28
15,0.21,0.44,2.2,9.2,10
15,0.21,0.44,2.2,9.2,10
7.3,0.66,0,2,9.9,6
7.1,0.68,0.07,1.9,9.5,16
8.2,0.6,0.17,2.3,9.3,11
7.7,0.53,0.06,1.7,9.8,9
7.3,0.66,0,2,9.9,6
10.8,0.32,0.44,1.6,10,16
7.1,0.6,0,1.8,9.9,16
11.1,0.35,0.48,3.1,10.5,5
7.7,0.775,0.42,1.9,9.5,8
7.1,0.6,0,1.8,9.9,16
8,0.57,0.23,3.2,9.3,17
9.4,0.34,0.37,2.2,9.2,5
6.6,0.695,0,2.1,9.2,12
7.7,0.41,0.76,1.8,9.4,8
10,0.31,0.47,2.6,10.5,14
7.9,0.33,0.23,1.7,9.3,18
7,0.975,0.04,2,9.4,12
8,0.52,0.03,1.7,10,10
7.9,0.37,0.23,1.8,9.3,23
